cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,Marketability,External,Potential,gender_Female,gender_Male,branch_CE,branch_CSE,branch_ECE,branch_IT,branch_ME,part_time_job,internet_access,family_income_level,extracurricular_involvement,city_tier,placement_status
8.15,72.9,75.2,1.0,2.8,55.2,7.0,1.0,5.0,5.0,4.0,5.0,2.0,6.8,4.0,6.96,4.4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1
7.65,78.9,69.1,0.0,4.0,79.1,4.0,1.0,2.0,5.0,4.0,0.0,2.0,6.8,10.0,4.96,0.4,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1
9.81,86.4,91.1,0.0,5.0,77.9,5.0,2.0,3.0,1.0,5.0,3.0,3.0,7.2,4.0,6.724,3.0000000000000004,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
7.99,68.3,78.8,0.0,5.8,74.8,6.0,1.0,4.0,2.0,3.0,4.0,3.0,5.9,6.0,6.296,3.8000000000000003,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1
9.44,86.2,90.2,0.0,7.7,76.0,7.0,4.0,4.0,1.0,5.0,4.0,5.0,7.2,2.0,7.976,4.2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1
8.12,80.7,70.2,0.0,5.4,79.6,2.0,0.0,1.0,3.0,4.0,1.0,0.0,5.7,6.0,4.048,0.8,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.58,74.9,72.6,0.0,0.2,60.7,3.0,2.0,3.0,1.0,4.0,3.0,2.0,9.0,6.0,5.832000000000001,2.8000000000000003,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1
9.33,89.5,87.2,1.0,6.8,79.3,8.0,4.0,5.0,2.0,5.0,5.0,4.0,8.3,6.0,8.532,4.8,2.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1
9.22,79.2,82.0,0.0,5.3,63.3,4.0,3.0,3.0,1.0,4.0,5.0,2.0,8.0,6.0,6.588,4.4,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
8.71,78.6,69.9,1.0,0.6,57.7,5.0,3.0,4.0,3.0,4.0,4.0,4.0,8.1,7.0,6.984,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1
8.57,71.9,76.3,0.0,1.6,60.4,4.0,2.0,3.0,3.0,5.0,5.0,2.0,4.8,5.0,6.028,4.4,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
7.92,69.9,82.8,0.0,4.5,70.3,2.0,4.0,1.0,1.0,4.0,1.0,2.0,5.6,4.0,5.168,1.2000000000000002,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1
8.5,76.5,71.7,0.0,5.0,70.6,7.0,2.0,5.0,4.0,3.0,6.0,6.0,7.8,5.0,7.4,6.000000000000001,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1
9.0,89.8,77.3,0.0,5.8,77.4,8.0,3.0,5.0,5.0,5.0,6.0,8.0,7.2,10.0,8.1,6.4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1
9.0,77.6,69.1,0.0,5.0,73.0,8.0,2.0,5.0,3.0,4.0,5.0,5.0,7.2,4.0,7.799999999999999,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0
8.55,88.4,79.0,1.0,9.3,80.8,6.0,3.0,4.0,1.0,3.0,3.0,2.0,7.8,6.0,7.12,2.8000000000000003,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0
8.07,71.8,75.6,1.0,3.1,70.6,7.0,1.0,4.0,2.0,5.0,4.0,3.0,5.1,10.0,6.5280000000000005,3.8000000000000003,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
6.96,61.2,66.9,1.0,1.1,70.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,8.4,4.0,4.784000000000001,2.6,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0
9.26,86.9,84.8,0.0,3.3,70.1,6.0,2.0,5.0,1.0,5.0,2.0,2.0,7.0,10.0,7.5040000000000004,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.33,73.6,67.7,0.0,3.4,71.2,8.0,1.0,5.0,1.0,3.0,5.0,5.0,6.4,8.0,6.832000000000001,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
6.58,59.6,57.4,1.0,4.4,76.0,7.0,0.0,5.0,5.0,3.0,6.0,3.0,4.1,5.0,6.032,5.4,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0
9.28,82.8,81.3,0.0,1.0,56.3,8.0,1.0,5.0,2.0,5.0,5.0,3.0,9.0,7.0,7.612,4.6,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1
7.69,68.9,75.1,0.0,3.6,67.1,8.0,2.0,5.0,4.0,4.0,5.0,1.0,6.0,10.0,7.276,4.2,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.38,76.0,71.3,0.0,3.5,79.8,3.0,2.0,2.0,4.0,5.0,3.0,1.0,9.0,8.0,5.352,2.6000000000000005,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
8.9,73.9,77.4,0.0,5.3,65.6,6.0,2.0,5.0,3.0,5.0,6.0,1.0,6.4,7.0,7.36,5.000000000000001,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1
8.57,79.9,82.0,0.0,5.0,75.1,6.0,2.0,4.0,3.0,4.0,3.0,3.0,8.7,4.0,6.828,3.0000000000000004,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1
9.48,86.5,80.2,0.0,1.8,67.2,8.0,3.0,5.0,1.0,4.0,5.0,5.0,7.0,8.0,8.292,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1
7.27,59.9,54.9,0.0,5.8,77.5,5.0,1.0,3.0,4.0,4.0,3.0,9.0,7.1,10.0,5.408,4.2,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
7.53,63.6,70.4,1.0,1.8,66.8,3.0,2.0,2.0,2.0,4.0,1.0,1.0,7.6,3.0,5.0120000000000005,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.24,83.2,85.5,0.0,3.1,80.6,4.0,3.0,3.0,4.0,5.0,2.0,2.0,6.4,2.0,6.596000000000001,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.24,88.3,84.6,0.0,6.3,66.6,3.0,2.0,3.0,1.0,4.0,3.0,2.0,6.6,1.0,6.096,2.8000000000000003,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1
6.86,61.3,73.5,2.0,5.2,75.9,3.0,3.0,2.0,5.0,3.0,2.0,1.0,6.0,7.0,5.0440000000000005,1.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.08,69.8,70.4,1.0,3.1,70.7,8.0,2.0,5.0,3.0,4.0,5.0,4.0,8.4,5.0,7.432,4.8,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1
10.0,86.4,82.5,0.0,6.7,80.5,4.0,4.0,3.0,1.0,5.0,3.0,2.0,7.4,4.0,7.2,2.8000000000000003,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
9.14,85.8,79.8,1.0,4.1,78.9,7.0,4.0,4.0,3.0,4.0,5.0,3.0,7.4,6.0,7.856000000000001,4.6,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1
9.32,78.6,80.3,1.0,3.8,74.9,7.0,3.0,5.0,5.0,4.0,4.0,8.0,8.3,7.0,8.028,4.800000000000001,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.17,75.3,85.5,0.0,3.3,76.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,5.5,4.0,6.468,2.2,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
6.32,61.2,58.0,0.0,1.0,69.5,7.0,0.0,5.0,1.0,3.0,6.0,3.0,7.5,7.0,5.928000000000001,5.4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1
8.05,77.7,67.6,2.0,4.9,79.6,4.0,3.0,4.0,5.0,4.0,4.0,5.0,8.8,8.0,6.5200000000000005,4.2,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1
7.98,67.7,76.0,1.0,4.2,67.9,6.0,3.0,4.0,4.0,5.0,3.0,3.0,8.7,6.0,6.892,3.0000000000000004,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
9.0,83.9,83.8,0.0,4.4,78.8,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.8,5.0,7.5,4.2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.3,75.0,69.1,0.0,6.6,80.8,8.0,1.0,5.0,2.0,4.0,5.0,1.0,4.9,8.0,7.220000000000001,4.2,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.43,82.9,84.5,0.0,4.8,80.5,8.0,4.0,5.0,3.0,5.0,6.0,7.0,7.9,9.0,8.572000000000001,6.200000000000001,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1
8.16,72.5,70.0,0.0,3.1,70.1,6.0,2.0,5.0,5.0,4.0,6.0,6.0,8.0,7.0,7.064,6.000000000000001,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
8.16,73.8,74.9,1.0,0.2,64.5,7.0,4.0,5.0,5.0,5.0,5.0,4.0,5.5,10.0,7.864000000000001,4.8,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.6,73.9,70.1,0.0,3.9,66.0,6.0,2.0,4.0,2.0,4.0,4.0,2.0,6.4,7.0,6.84,3.6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1
10.0,98.3,87.4,0.0,6.5,76.9,5.0,3.0,3.0,1.0,5.0,3.0,1.0,5.4,9.0,7.1,2.6000000000000005,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1
8.93,76.7,74.1,0.0,5.2,76.5,8.0,2.0,5.0,5.0,4.0,5.0,9.0,7.2,3.0,7.772,5.8,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1
9.2,77.9,78.7,0.0,9.4,83.2,8.0,2.0,5.0,5.0,5.0,6.0,0.0,9.0,8.0,7.879999999999999,4.800000000000001,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.08,64.1,72.7,0.0,5.7,77.4,2.0,3.0,2.0,5.0,4.0,3.0,1.0,7.3,2.0,5.332000000000001,2.6000000000000005,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
6.9,67.2,58.7,2.0,2.6,72.5,4.0,1.0,2.0,1.0,3.0,0.0,6.0,8.0,5.0,4.66,1.2000000000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
8.03,71.5,71.7,1.0,2.8,66.8,5.0,2.0,4.0,4.0,5.0,4.0,3.0,6.5,6.0,6.411999999999999,3.8000000000000003,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1
8.9,81.9,69.4,1.0,7.5,74.1,7.0,3.0,3.0,4.0,5.0,3.0,2.0,7.8,4.0,7.0600000000000005,2.8000000000000003,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.38,74.7,75.8,0.0,4.8,67.3,8.0,2.0,5.0,4.0,5.0,6.0,7.0,5.2,10.0,7.952,6.200000000000001,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
9.02,84.6,81.1,0.0,3.6,62.4,8.0,4.0,5.0,3.0,5.0,5.0,2.0,6.9,5.0,8.408000000000001,4.4,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
9.54,99.6,75.3,0.0,0.0,56.1,7.0,4.0,5.0,5.0,5.0,5.0,0.0,7.3,9.0,8.416,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
7.99,69.5,74.3,1.0,4.7,75.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,7.3,10.0,5.196000000000001,3.8000000000000003,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0
9.34,88.1,85.2,0.0,3.8,71.6,7.0,3.0,5.0,2.0,5.0,6.0,1.0,5.1,8.0,8.036000000000001,5.000000000000001,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
7.83,70.9,77.8,0.0,3.3,72.9,5.0,4.0,4.0,2.0,4.0,5.0,3.0,7.5,1.0,6.932,4.6,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1
8.93,86.7,82.0,0.0,1.8,61.9,3.0,3.0,3.0,2.0,4.0,2.0,1.0,6.9,4.0,6.272,1.8,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1
9.64,86.3,81.1,0.0,3.8,75.1,5.0,4.0,4.0,4.0,5.0,2.0,3.0,6.5,5.0,7.656000000000001,2.2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1
9.03,84.9,82.8,0.0,5.2,71.2,8.0,3.0,5.0,3.0,5.0,4.0,5.0,7.7,6.0,8.112,4.2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1
9.87,100.0,93.8,0.0,6.0,74.8,8.0,3.0,5.0,5.0,5.0,5.0,4.0,7.6,4.0,8.448,4.8,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.46,78.1,80.5,0.0,1.9,61.5,2.0,3.0,2.0,4.0,5.0,1.0,3.0,8.2,2.0,5.884,1.4000000000000001,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1
7.53,65.4,79.3,0.0,2.5,76.0,7.0,1.0,5.0,2.0,4.0,4.0,1.0,6.1,10.0,6.712000000000001,3.4000000000000004,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
7.89,78.0,64.8,0.0,4.0,69.3,2.0,2.0,2.0,2.0,3.0,2.0,2.0,7.9,4.0,4.956,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1
7.19,63.1,64.0,0.0,3.0,75.4,4.0,1.0,3.0,4.0,3.0,3.0,6.0,7.4,8.0,5.176,3.6000000000000005,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1
8.52,69.3,67.4,0.0,6.2,77.3,4.0,2.0,3.0,5.0,5.0,2.0,0.0,7.3,10.0,6.008,1.6,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1
8.35,71.0,71.2,0.0,5.0,72.8,8.0,3.0,5.0,3.0,4.0,5.0,7.0,6.9,1.0,7.84,5.4,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1
9.58,78.9,86.0,0.0,3.7,76.2,7.0,4.0,5.0,4.0,5.0,6.0,2.0,5.7,9.0,8.432,5.200000000000001,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1
6.92,51.7,66.6,3.0,1.9,62.9,6.0,1.0,3.0,3.0,3.0,5.0,1.0,7.2,8.0,5.468000000000001,4.2,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0
8.12,75.0,64.1,0.0,3.1,61.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,7.2,6.0,5.148,1.2000000000000002,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1
8.08,68.2,71.0,2.0,5.8,77.0,8.0,2.0,5.0,1.0,4.0,4.0,2.0,6.6,1.0,7.432,3.6,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1
10.0,91.4,90.3,0.0,3.1,77.0,6.0,3.0,4.0,1.0,5.0,4.0,5.0,5.3,8.0,7.7,4.2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
8.19,71.2,73.9,0.0,3.2,71.9,6.0,0.0,5.0,4.0,4.0,5.0,4.0,5.8,5.0,6.476,4.8,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
8.6,78.9,73.6,1.0,2.5,61.0,5.0,1.0,3.0,4.0,5.0,4.0,1.0,4.2,10.0,5.94,3.4000000000000004,2.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1
9.0,80.5,86.1,0.0,2.9,68.9,6.0,2.0,5.0,4.0,5.0,5.0,3.0,7.3,7.0,7.3999999999999995,4.6,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1
8.78,80.9,81.6,0.0,5.1,74.0,6.0,1.0,5.0,2.0,4.0,5.0,2.0,8.3,5.0,7.0120000000000005,4.4,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1
7.33,70.3,66.9,2.0,3.2,64.3,7.0,0.0,5.0,4.0,4.0,5.0,3.0,7.2,1.0,6.332000000000001,4.6,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0
7.86,68.6,71.2,1.0,0.4,57.9,4.0,2.0,3.0,4.0,4.0,3.0,1.0,6.0,7.0,5.744,2.6000000000000005,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
9.02,91.0,73.3,2.0,5.9,68.2,4.0,1.0,4.0,4.0,4.0,5.0,1.0,6.5,8.0,6.308,4.2,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0
8.07,75.1,78.6,0.0,3.2,71.6,3.0,3.0,2.0,2.0,4.0,3.0,3.0,6.9,3.0,5.5280000000000005,3.0000000000000004,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.67,71.3,75.0,1.0,2.6,65.3,8.0,2.0,5.0,2.0,5.0,5.0,1.0,8.1,3.0,7.667999999999999,4.2,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
8.88,75.6,79.3,0.0,6.4,84.1,8.0,3.0,5.0,1.0,4.0,5.0,2.0,8.2,5.0,8.052,4.4,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1
7.56,67.4,64.2,0.0,3.1,65.0,5.0,2.0,3.0,1.0,3.0,4.0,1.0,9.0,1.0,5.824,3.4000000000000004,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.78,76.5,73.6,0.0,9.4,87.5,7.0,3.0,5.0,2.0,5.0,5.0,1.0,7.4,7.0,7.812000000000001,4.2,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
7.83,64.9,65.3,1.0,5.1,75.7,7.0,2.0,5.0,3.0,4.0,6.0,3.0,6.3,1.0,7.132,5.4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1
9.34,95.1,83.6,1.0,3.7,63.3,3.0,2.0,4.0,2.0,5.0,5.0,1.0,5.2,3.0,6.536,4.2,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1
9.13,89.9,80.3,0.0,6.3,88.4,8.0,2.0,5.0,2.0,4.0,6.0,1.0,6.8,9.0,7.852,5.000000000000001,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1
